Name,Team,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%
Ozzie Albies,Atlanta Braves,4.4,27.6,30.6,25.0,35.8,16.7,86.8,0.133,20.4,78.9,0.309,43.5,6.5,22.4,0,0,6,S,22.4
Rowdy Tellez,Atlanta Braves,15.3,46.4,31.6,22.0,30.2,14.8,91.2,0.245,28.1,59.4,0.328,32.5,4.8,20.1,0,0,6,L,28.2
Miguel Vargas,Chicago White Sox,14.1,45.3,35.4,22.9,19.4,19.6,89.8,0.264,20.5,70.4,0.394,41.1,8.9,19.3,0,0,7,R,27.1
Colson Montgomery,Chicago White Sox,13.7,45.1,34.0,21.6,31.7,19.5,89.8,0.223,38.2,75.6,0.326,52.3,9.8,27.5,0,0,6,L,18.3
Andrew Benintendi,Chicago White Sox,11.0,47.4,33.6,27.0,32.4,18.0,89.1,0.220,29.6,74.0,0.327,53.3,8.8,25.5,0,0,6,L,10.9
Randal Grichuk,Chicago White Sox,13.2,44.1,33.8,23.5,32.6,14.7,90.2,0.249,23.4,64.5,0.388,42.6,4.4,22.1,0,0,6,R,25.0
Sam Antonacci,Chicago White Sox,6.5,36.9,20.1,27.3,21.5,11.5,87.9,0.168,16.3,59.9,0.374,28.1,5.0,37.4,0,0,6,R,28.8
Derek Hill,Chicago White Sox,9.6,35.8,22.6,18.9,34.4,15.4,90.0,0.164,34.6,73.7,0.302,39.6,0.0,28.3,0,0,6,R,24.5

Corey Seager,Texas Rangers,15.7,44.6,29.8,21.5,29.2,12.3,91.1,0.285,35.2,80.1,0.333,46.3,6.6,19.8,0,0,7,L,24.0
Josh Jung,Texas Rangers,5.5,43.8,20.9,30.3,32.3,11.7,89.4,0.150,18.7,65.8,0.357,41.8,5.5,30.3,0,0,6,R,24.4
Brandon Nimmo,Texas Rangers,11.3,52.3,29.2,27.2,27.0,11.5,92.1,0.223,22.9,68.9,0.377,28.2,8.7,24.1,0,0,7,L,23.6
Jake Burger,Texas Rangers,9.8,47.4,25.7,22.3,37.7,12.1,90.3,0.163,35.0,65.5,0.309,45.1,9.1,20.0,0,0,6,R,19.4
Wyatt Langford,Texas Rangers,6.8,37.0,27.4,20.5,27.9,14.9,89.6,0.125,26.8,65.4,0.284,32.9,4.1,26.0,0,0,6,L,30.1
Ezequiel Duran,Texas Rangers,6.3,38.9,20.8,25.7,35.4,11.6,90.2,0.117,29.7,63.9,0.315,36.1,6.9,25.7,0,0,6,R,26.4
Evan Carter,Texas Rangers,7.1,37.9,35.0,18.6,19.5,19.7,87.9,0.141,25.4,60.6,0.299,35.7,9.3,34.3,0,0,6,L,25.7
Bobby Witt Jr,Kansas City Royals,13.3,51.6,27.9,27.9,33.6,16.7,93.3,0.214,24.7,66.3,0.384,27.4,7.4,26.0,0,0,7,R,29.8
Jac Caglianone,Kansas City Royals,15.9,58.7,24.6,32.6,33.4,8.0,93.9,0.219,31.1,67.1,0.364,39.1,8.0,21.7,0,0,8,R,18.1
Salvador Perez,Kansas City Royals,7.6,40.1,27.6,23.6,24.5,17.1,88.6,0.165,20.8,66.6,0.288,37.4,5.2,23.2,0,0,6,R,24.7
Vinnie Pasquantino,Kansas City Royals,7.6,38.7,27.6,28.1,30.4,20.0,88.9,0.151,16.1,63.6,0.318,43.2,7.0,23.6,0,0,6,L,22.1
Carter Jensen,Kansas City Royals,10.3,40.9,38.0,20.4,27.2,22.2,90.4,0.148,31.9,65.1,0.270,40.1,6.6,19.0,0,0,6,R,28.5
Maikel Garcia,Kansas City Royals,3.0,41.4,27.1,27.1,22.3,9.0,90.1,0.110,17.8,66.6,0.327,38.9,4.0,27.1,0,0,6,R,26.7
Michael Massey,Kansas City Royals,8.5,44.1,42.4,19.5,39.1,19.0,90.8,0.162,22.1,65.5,0.280,44.9,8.5,19.5,0,0,6,R,16.1
Isaac Collins,Kansas City Royals,7.7,37.7,26.9,26.2,19.3,19.5,88.2,0.145,26.1,58.7,0.302,41.5,3.8,24.6,0,0,6,L,24.6
Julio Rodriguez,Seattle Mariners,9.3,44.4,25.5,22.7,38.9,13.1,90.4,0.205,27.3,70.0,0.340,36.6,8.8,21.3,0,0,7,R,22.7
Randy Arozarena,Seattle Mariners,7.7,43.8,19.6,26.3,32.0,8.2,91.6,0.180,26.6,64.8,0.355,35.6,3.1,26.3,0,0,7,R,28.4
Dominic Canzone,Seattle Mariners,16.4,49.1,26.7,28.4,32.8,12.1,93.1,0.240,30.4,64.0,0.380,40.5,5.2,26.7,0,0,7,R,21.6
Luke Raley,Seattle Mariners,18.3,47.0,29.6,24.3,33.1,15.7,90.2,0.281,41.6,77.2,0.367,49.6,4.3,24.3,0,0,6,L,24.3
Josh Naylor,Seattle Mariners,5.1,37.8,21.7,22.1,35.9,13.9,87.7,0.131,19.8,74.1,0.327,47.9,6.0,22.1,0,0,6,L,22.1
Cole Young,Seattle Mariners,5.1,37.1,25.4,23.4,31.0,16.3,87.6,0.136,22.3,64.7,0.328,46.7,5.1,23.4,0,0,6,L,20.3
Mitch Garver,Seattle Mariners,7.1,50.0,41.1,17.9,23.8,18.2,89.9,0.149,33.7,64.1,0.296,57.1,8.9,17.9,0,0,6,R,10.7
Colt Emerson,Seattle Mariners,4.9,31.7,19.5,29.3,29.3,18.3,88.0,0.073,31.8,69.8,0.232,43.9,7.3,29.3,0,0,7,R,36.6
Pete Alonso,Baltimore Orioles,12.1,55.8,32.2,21.6,26.4,15.0,95.0,0.243,27.1,65.8,0.368,33.2,10.6,21.6,0,0,7,R,23.1
Samuel Basallo,Baltimore Orioles,12.4,47.7,26.2,27.7,39.0,13.0,92.1,0.225,31.5,68.2,0.357,40.8,7.7,27.7,0,0,7,R,21.5
Gunnar Henderson,Baltimore Orioles,8.7,44.7,26.0,22.6,33.8,12.4,89.1,0.193,24.5,66.8,0.304,43.3,6.3,22.6,0,0,7,L,20.7
Adley Rutschman,Baltimore Orioles,9.8,47.4,30.5,27.3,26.2,16.0,90.4,0.220,14.2,58.4,0.376,37.7,7.1,27.3,0,0,7,S,21.4
Coby Mayo,Baltimore Orioles,10.7,48.2,33.9,17.9,29.6,19.6,91.8,0.176,29.8,63.1,0.299,51.8,8.0,17.9,0,0,6,R,15.2
Taylor Ward,Baltimore Orioles,4.8,41.5,26.1,27.7,12.5,13.8,89.6,0.098,18.1,51.7,0.355,28.7,8.0,27.7,0,0,6,R,27.7
Blaze Alexander,Baltimore Orioles,6.4,48.6,20.2,31.2,30.2,10.2,92.8,0.132,28.8,82.5,0.356,28.4,7.3,31.2,0,0,6,R,32.1
Colton Cowser,Baltimore Orioles,12.5,31.3,31.3,19.8,27.7,10.6,85.9,0.197,32.0,62.7,0.321,36.5,8.3,19.8,0,0,6,L,22.9
