Name,Team,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%,BBE
Yandy Diaz,Tampa Bay Rays,8.7,46.1,22.6,23.6,27.2,6.9,90.9,0.182,13.8,67.2,0.374,19.2,5.3,26.9,0,0,7,R,32.2,208
Jonathan Aranda,Tampa Bay Rays,12.0,46.1,33.5,26.3,28.1,15.2,90.8,0.212,22.1,61.4,0.372,28.1,6.6,27.5,0,0,8,L,25.1,167
Zach Neto,Los Angeles Angels,12.0,37.1,37.1,22.8,32.3,22.3,89.7,0.197,30.4,70.8,0.321,49.7,6.0,21.0,0,0,6,R,19.8,167
Mike Trout,Los Angeles Angels,21.2,52.4,37.3,21.1,18.6,20.0,91.9,0.307,23.0,60.6,0.415,39.8,8.4,25.9,0,0,7,R,24.7,166
Logan O'Hoppe,Los Angeles Angels,11.8,38.2,31.4,15.7,33.3,16.8,87.1,0.153,29.4,70.3,0.283,46.1,3.9,14.7,0,0,6,R,27.5,102
Jo Adell,Los Angeles Angels,8.5,45.3,26.4,25.4,38.1,18.4,90.7,0.186,26.3,76.0,0.331,38.8,8.0,24.9,0,0,6,R,26.4,201
Hunter Goodman,Colorado Rockies,15.4,46.7,33.3,27.3,41.2,18.1,90.9,0.219,33.9,72.3,0.327,52.0,6.7,22.0,0,0,7,R,18.0,150
Edouard Julien,Colorado Rockies,7.1,51.8,20.5,29.5,20.5,8.5,91.4,0.160,24.8,63.7,0.340,34.8,10.7,36.6,0,0,6,L,21.4,112
Ezequiel Tovar,Colorado Rockies,8.5,36.4,30.3,26.7,45.0,15.5,88.0,0.163,30.6,82.1,0.299,38.2,5.5,24.8,0,0,6,R,22.4,165
TJ Rumfield,Colorado Rockies,6.8,35.4,25.5,27.1,31.4,13.9,85.3,0.153,19.3,73.1,0.332,46.9,7.8,22.9,0,0,6,R,24.5,192
Sterlin Thompson,Colorado Rockies,0.0,41.7,19.4,25.0,27.2,7.0,87.3,0.067,23.1,76.0,0.289,47.2,13.9,22.2,0,0,6,R,22.2,36
Nick Kurtz,Oakland Athletics,18.5,58.3,29.8,25.8,21.6,13.4,94.4,0.258,35.8,63.8,0.397,33.8,9.3,22.5,0,0,7,L,29.1,151
Shea Langeliers,Oakland Athletics,14.8,44.8,31.0,24.1,32.7,20.8,91.6,0.256,25.8,74.0,0.377,38.4,3.9,21.7,0,0,7,R,26.1,203
Brent Rooker,Oakland Athletics,15.5,41.9,41.0,20.5,31.0,19.7,89.9,0.228,38.4,70.9,0.315,39.3,9.4,15.4,0,0,6,R,24.8,117
Tyler Soderstrom,Oakland Athletics,11.1,45.5,29.8,15.7,27.4,12.5,90.1,0.180,20.6,69.3,0.337,37.7,5.8,19.4,0,0,6,L,20.9,191
